date,week,weekday,day,work_hours
2023-07-24,30,1,workday,8
2023-07-25,30,2,workday,8
2023-07-26,30,3,workday,8
2023-07-27,30,4,workday,8
2023-07-28,30,5,workday,8
2023-07-29,30,6,day_off,0
2023-07-30,31,7,day_off,0
2023-07-31,31,1,workday,8
2023-08-01,31,2,workday,8
2023-08-02,31,3,workday,8
2023-08-03,31,4,workday,8
2023-08-04,31,5,workday,8
2023-08-05,31,6,day_off,0
2023-08-06,32,7,day_off,0
2023-08-07,32,1,workday,8
2023-08-08,32,2,workday,8
2023-08-09,32,3,workday,8
2023-08-10,32,4,workday,8
2023-08-11,32,5,workday,8
2023-08-12,32,6,day_off,0
2023-08-13,33,7,day_off,0
2023-08-14,33,1,workday,8
2023-08-15,33,2,workday,8
2023-08-16,33,3,workday,8
2023-08-17,33,4,workday,8
2023-08-18,33,5,workday,8
2023-08-19,33,6,day_off,0
2023-08-20,34,7,day_off,0
2023-08-21,34,1,workday,8
2023-08-22,34,2,workday,8
2023-08-23,34,3,workday,8
2023-08-24,34,4,workday,8
2023-08-25,34,5,workday,8
2023-08-26,34,6,day_off,0
2023-08-27,35,7,day_off,0
2023-08-28,35,1,workday,8
2023-08-29,35,2,workday,8
2023-08-30,35,3,workday,8
2023-08-31,35,4,workday,8
2023-09-01,35,5,workday,8
2023-09-02,35,6,day_off,0
2023-09-03,36,7,day_off,0
2023-09-04,36,1,workday,8
2023-09-05,36,2,workday,8
2023-09-06,36,3,workday,8
2023-09-07,36,4,workday,8
2023-09-08,36,5,workday,8
2023-09-09,36,6,day_off,0
2023-09-10,37,7,day_off,0
2023-09-11,37,1,workday,8
2023-09-12,37,2,workday,8
2023-09-13,37,3,workday,8
2023-09-14,37,4,workday,8
2023-09-15,37,5,workday,8
2023-09-16,37,6,day_off,0
2023-09-17,38,7,day_off,0
2023-09-18,38,1,workday,8
2023-09-19,38,2,workday,8
2023-09-20,38,3,workday,8
2023-09-21,38,4,workday,8
2023-09-22,38,5,workday,8
2023-09-23,38,6,day_off,0
2023-09-24,39,7,day_off,0
2023-09-25,39,1,workday,8
2023-09-26,39,2,workday,8
2023-09-27,39,3,workday,8
2023-09-28,39,4,workday,8
2023-09-29,39,5,workday,8
2023-09-30,39,6,day_off,0
2023-10-01,40,7,day_off,0
2023-10-02,40,1,workday,8
2023-10-03,40,2,workday,8
2023-10-04,40,3,workday,8
2023-10-05,40,4,workday,8
2023-10-06,40,5,workday,8
2023-10-07,40,6,day_off,0
2023-10-08,41,7,day_off,0
2023-10-09,41,1,workday,8
2023-10-10,41,2,workday,8
2023-10-11,41,3,workday,8
2023-10-12,41,4,workday,8
2023-10-13,41,5,workday,8
2023-10-14,41,6,day_off,0
2023-10-15,42,7,day_off,0
2023-10-16,42,1,workday,8
2023-10-17,42,2,workday,8
2023-10-18,42,3,workday,8
2023-10-19,42,4,workday,8
2023-10-20,42,5,workday,8
2023-10-21,42,6,day_off,0
2023-10-22,43,7,day_off,0
2023-10-23,43,1,workday,8
2023-10-24,43,2,workday,8
2023-10-25,43,3,workday,8
2023-10-26,43,4,workday,8
2023-10-27,43,5,workday,8
2023-10-28,43,6,day_off,0
2023-10-29,44,7,day_off,0
2023-10-30,44,1,workday,8
2023-10-31,44,2,workday,8
2023-11-01,44,3,workday,8
2023-11-02,44,4,workday,8
2023-11-03,44,5,workday,8
2023-11-04,44,6,day_off,0
2023-11-05,45,7,day_off,0
2023-11-06,45,1,workday,8
2023-11-07,45,2,workday,8
2023-11-08,45,3,workday,8
2023-11-09,45,4,workday,8
2023-11-10,45,5,workday,8
2023-11-11,45,6,day_off,0
2023-11-12,46,7,day_off,0
2023-11-13,46,1,workday,8
2023-11-14,46,2,workday,8
2023-11-15,46,3,workday,8
2023-11-16,46,4,workday,8
2023-11-17,46,5,workday,8
2023-11-18,46,6,day_off,0
2023-11-19,47,7,day_off,0
2023-11-20,47,1,workday,8
2023-11-21,47,2,workday,8
2023-11-22,47,3,workday,8
2023-11-23,47,4,workday,8
2023-11-24,47,5,workday,8
2023-11-25,47,6,day_off,0
2023-11-26,48,7,day_off,0
2023-11-27,48,1,workday,8
2023-11-28,48,2,workday,8
2023-11-29,48,3,workday,8
2023-11-30,48,4,workday,8
2023-12-01,48,5,workday,8
2023-12-02,48,6,day_off,0
2023-12-03,49,7,day_off,0
2023-12-04,49,1,workday,8
2023-12-05,49,2,workday,8
2023-12-06,49,3,workday,8
2023-12-07,49,4,workday,8
2023-12-08,49,5,workday,8
2023-12-09,49,6,day_off,0
2023-12-10,50,7,day_off,0
2023-12-11,50,1,workday,8
2023-12-12,50,2,workday,8
2023-12-13,50,3,workday,8
2023-12-14,50,4,workday,8
2023-12-15,50,5,workday,8
2023-12-16,50,6,day_off,0
2023-12-17,51,7,day_off,0
2023-12-18,51,1,workday,8
2023-12-19,51,2,workday,8
2023-12-20,51,3,workday,8
2023-12-21,51,4,workday,8
2023-12-22,51,5,workday,8
2023-12-23,51,6,day_off,0
2023-12-24,52,7,day_off,0
2023-12-25,52,1,workday,8
2023-12-26,52,2,workday,8
2023-12-27,52,3,workday,8
2023-12-28,52,4,workday,8
2023-12-29,52,5,workday,8
2023-12-30,52,6,day_off,0
2023-12-31,53,7,day_off,0
2024-01-01,1,1,workday,8
2024-01-02,1,2,workday,8
2024-01-03,1,3,workday,8
2024-01-04,1,4,workday,8
2024-01-05,1,5,workday,8
2024-01-06,1,6,day_off,0
2024-01-07,2,7,day_off,0
2024-01-08,2,1,workday,8
2024-01-09,2,2,workday,8
2024-01-10,2,3,workday,8
2024-01-11,2,4,workday,8
2024-01-12,2,5,workday,8
2024-01-13,2,6,day_off,0
2024-01-14,3,7,day_off,0
2024-01-15,3,1,workday,8
